Trial Number,Params,Objective Value
24,"TEST:X0: 0.39385077801284823, TEST:X1: 0.6075798388115599, TEST:X2: 0.40521496176986427, TEST:X3: 0.0",23.633889776543406
25,"TEST:X0: 0.3340553514257292, TEST:X1: 0.6138468342692063, TEST:X2: 0.6890208769853597, TEST:X3: 0.8180353767707154",15.560582726359737
26,"TEST:X0: 0.0020781970371566245, TEST:X1: 0.4170906779977306, TEST:X2: 0.0, TEST:X3: 0.0",31.024006385760757
27,"TEST:X0: 1.592826045070771, TEST:X1: 1.2462196443671771, TEST:X2: 0.8425596378809628, TEST:X3: 0.4971921013591665",6.321066852045926
28,"TEST:X0: 0.6568562009953678, TEST:X1: 0.774048602972428, TEST:X2: 0.8066348217846961, TEST:X3: 0.8022622894996098",5.351983516350986
29,"TEST:X0: 0.0, TEST:X1: 0.0, TEST:X2: 0.0, TEST:X3: 0.0",42.99996206405716
30,"TEST:X0: 1.214890153635165, TEST:X1: 1.0837430015249088, TEST:X2: 0.8804039450098752, TEST:X3: 0.9503328903282156",4.0002625356318
31,"TEST:X0: 0.5340775303470262, TEST:X1: 0.7358053396949465, TEST:X2: 0.9599373180735374, TEST:X3: 1.298489124770732",14.05959566349155
32,"TEST:X0: 0.8876322502574383, TEST:X1: 0.9477470899569174, TEST:X2: 1.005374355718959, TEST:X3: 1.0997269197552395",1.7608866221358719
33,"TEST:X0: 1.939643812832292, TEST:X1: 0.0, TEST:X2: 0.0, TEST:X3: 0.0",419.10473491559463
34,"TEST:X0: 1.671621427534301, TEST:X1: 1.2990255293818156, TEST:X2: 0.691380408014116, TEST:X3: 0.6633536946911329",4.717731413585688
35,"TEST:X0: 0.8624207840941345, TEST:X1: 0.8943743763996782, TEST:X2: 1.200441619071697, TEST:X3: 1.5403885221482003",4.2697215685633
36,"TEST:X0: 1.1743312423004901, TEST:X1: 1.0951385222462717, TEST:X2: 0.7917011507809322, TEST:X3: 0.4376999245085433",6.58003953643996
37,"TEST:X0: 1.1148008009782542, TEST:X1: 1.0846234936711694, TEST:X2: 0.9719800108533725, TEST:X3: 0.755448249359113",4.885164926094412
38,"TEST:X0: 1.1938330287915517, TEST:X1: 0.9905632770933713, TEST:X2: 1.4853683275348266, TEST:X3: 1.9999999999999998",19.538904744657216
39,"TEST:X0: 1.3728664617919162, TEST:X1: 1.1692275303067414, TEST:X2: 0.817545169336849, TEST:X3: 0.6686258199314656",1.4635532006238692
40,"TEST:X0: 0.7397044083496512, TEST:X1: 0.8535614476412102, TEST:X2: 1.006179225506841, TEST:X3: 1.0254946553516433",1.2449219818792896
41,"TEST:X0: 1.9999999999999998, TEST:X1: 1.260067541260777, TEST:X2: 0.03333724253514388, TEST:X3: 0.0",25.561706448943063
42,"TEST:X0: 1.451681598476592, TEST:X1: 1.0806591777051062, TEST:X2: 0.2863360634978776, TEST:X3: 0.0",18.94441739575707
43,"TEST:X0: 0.9436753552695186, TEST:X1: 0.8721793893820639, TEST:X2: 0.4701977508272463, TEST:X3: 0.0",21.827088598719016
44,"TEST:X0: 1.9999999999999998, TEST:X1: 1.3612206986263264, TEST:X2: 0.37360043837950807, TEST:X3: 0.0",10.574691763765184
45,"TEST:X0: 1.9999999999999998, TEST:X1: 1.341065045690003, TEST:X2: 0.3807972035177511, TEST:X3: 0.5410044271255225",20.761825133092568
46,"TEST:X0: 1.9999999999999998, TEST:X1: 1.3513152016609733, TEST:X2: 1.077805809698395, TEST:X3: 1.9999999999999998",86.58685506681832
47,"TEST:X0: 1.4334194670371316, TEST:X1: 1.2111921309186795, TEST:X2: 0.9690691195921417, TEST:X3: 1.062249534643924",3.4161795949212257
48,"TEST:X0: 0.0, TEST:X1: 0.0, TEST:X2: 0.4692719430942534, TEST:X3: 0.0",46.64626571906806
49,"TEST:X0: 1.4354046085538004, TEST:X1: 1.2235090016508254, TEST:X2: 0.85483648560403, TEST:X3: 0.8184771605701566",2.3163309494788606
50,"TEST:X0: 1.2242904670394195, TEST:X1: 1.0866543352503826, TEST:X2: 1.0800916366950328, TEST:X3: 1.1831857407837547",1.9996635087351797
51,"TEST:X0: 1.3426981548944918, TEST:X1: 1.139543768804617, TEST:X2: 0.9536363878266603, TEST:X3: 0.8819375388223325",1.3936755581018663
52,"TEST:X0: 0.7494747262070152, TEST:X1: 0.7477716133434517, TEST:X2: 0.0, TEST:X3: 0.0",21.421386017521737
53,"TEST:X0: 0.8387319598111396, TEST:X1: 0.8808655219132132, TEST:X2: 1.0646256902359001, TEST:X3: 1.1371453365881943",1.4356049638958128
54,"TEST:X0: 1.3464788415128441, TEST:X1: 0.9070029176541485, TEST:X2: 0.0, TEST:X3: 0.0",41.58784007154701
55,"TEST:X0: 1.4846596195769257, TEST:X1: 1.1964214238287754, TEST:X2: 0.5892277382130371, TEST:X3: 0.0",19.136383470603988
56,"TEST:X0: 0.8841939933860303, TEST:X1: 0.9397669123508801, TEST:X2: 0.8798557837257845, TEST:X3: 0.7802766738802763",1.8175409061960164
57,"TEST:X0: 1.0117870889830403, TEST:X1: 0.9858178281067024, TEST:X2: 0.9927807347247125, TEST:X3: 0.9651231752357097",1.2218773697071692
58,"TEST:X0: 1.41252020047478, TEST:X1: 1.1037635570157518, TEST:X2: 1.2349224995816441, TEST:X3: 1.4079795007579572",8.858774868031194
59,"TEST:X0: 1.1138767381226533, TEST:X1: 0.9886121633283902, TEST:X2: 1.2846842085975005, TEST:X3: 1.659507105619964",7.211050440359615
60,"TEST:X0: 1.2866850347194039, TEST:X1: 1.1265195892988136, TEST:X2: 1.0036337395180615, TEST:X3: 0.9908875403934263",1.2771299256961874
61,"TEST:X0: 1.4776758434085915, TEST:X1: 1.1926828811167516, TEST:X2: 0.8882268913592307, TEST:X3: 0.8212660819065276",1.6547328879847836
62,"TEST:X0: 0.8361986784803842, TEST:X1: 0.9073450796324227, TEST:X2: 0.9795240286328627, TEST:X3: 0.9630967851471335",1.2134364496923564
63,"TEST:X0: 1.1075238170071555, TEST:X1: 1.0378574453063676, TEST:X2: 1.0174847673622205, TEST:X3: 1.0183347819504596",1.1617186083298714
64,"TEST:X0: 1.0984789651897244, TEST:X1: 1.0295775233876034, TEST:X2: 0.6254516904440791, TEST:X3: 0.5158934372666091",4.789780425330051
65,"TEST:X0: 0.5068518363265765, TEST:X1: 0.4988101570754421, TEST:X2: 0.0, TEST:X3: 0.0",31.46227201134767
66,"TEST:X0: 1.6560925553565045, TEST:X1: 1.2957369122392093, TEST:X2: 0.889501845682668, TEST:X3: 0.8077772383636933",1.6506124586197317
67,"TEST:X0: 0.7633332823404776, TEST:X1: 0.8719554628226431, TEST:X2: 1.0515878744056306, TEST:X3: 1.138934895311748",1.1663277795636136
